DISCIPLINA,TPI,RECOMENDAÇÃO,CURSO
Abordagens Tradicionais das Relações Internacionais,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Aditivação de Polímeros,4-0-4,Síntese de Polímeros; Materiais Poliméricos,EMAT - Engenharia de Materiais (OL)
Administração Pública e Reforma do Estado em Perspectiva Comparada,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL)
Aerodinâmica I,4-0-5,Dinâmica de Gases,EAER - Engenharia Aeroespacial (OBR)
Aerodinâmica II,4-0-5,Aerodinâmica I,EAER - Engenharia Aeroespacial (OL)
Aeroelasticidade,4-0-5,Aerodinâmica I; Vibrações; Mecânica dos Sólidos I; Métodos Computacionais para Análise Estrutural,EAER - Engenharia Aeroespacial (OBR)
Aeronáutica I-A,4-0-4,Não há,EAER - Engenharia Aeroespacial (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Aeronáutica I-B,4-0-4,Aeronáutica I-A,EAER - Engenharia Aeroespacial (OL)
Aeronáutica II,3-1-4,Aeronáutica I-A,EAER - Engenharia Aeroespacial (OL)
Afro-Brasileira: Relações Étnico-Raciais,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Álgebra Linear,6-0-5,Geometria Analítica,BFIS - Bacharelado em Física (OBR);EGES - Engenharia de Gestão (OBR);EBIO - Engenharia Biomédica (OBR);EENE - Engenharia de Energia (OBR);BM - Bacharelado em Matemática (OBR);EMAT - Engenharia de Materiais (OBR);EAER - Engenharia Aeroespacial (OBR);LM - Licenciatura em Matemática (OBR);EINF - Engenharia de Informação (OBR);EAU - Engenharia Ambiental e Urbana (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);EIAR - Engenharia de Instrumentação Automação e Robótica (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Álgebra Linear Avançada I,4-0-4,Álgebra Linear; Matemática Discreta,BM - Bacharelado em Matemática (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Álgebra Linear Avançada II,4-0-4,Álgebra Linear Avançada I,BM - Bacharelado em Matemática (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Álgebra na Educação Básica,0-2-4,Teoria Aritmética dos Números; Geometria Plana Axiomática; Fundamentos de Álgebra,LM - Licenciatura em Matemática (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Algoritmos e Estruturas de Dados I,2-2-4,Programação Estruturada,EINF - Engenharia de Informação (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Algoritmos e Estruturas de Dados II,2-2-4,Algoritmos e Estruturas de Dados I,EINF - Engenharia de Informação (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OBR)
Algoritmos Probabilísticos,4-0-4,Algoritmos e Estruturas de Dados II; Introdução à Probabilidade e à Estatística,BCC - Bacharelado em Ciências da Computação (OL)
América Portuguesa,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Análise Complexa,4-0-4,Funções de Variável Complexa,BM - Bacharelado em Matemática (OL)
Análise da Conjuntura Internacional Contemporânea,4-0-4,Política Externa Brasileira Contemporânea,BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Análise da Produção do Espaço e Políticas Públicas Urbanas,4-0-4,Não há,BPT - Bacharelado em Planejamento Territorial (OL)
Análise de Algoritmos,4-0-4,Matemática Discreta; Algoritmos e Estruturas de Dados I,BM - Bacharelado em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OBR)
Análise de Algoritmos II,4-0-4,Análise de Algoritmos,BCC - Bacharelado em Ciências da Computação (OL)
Análise de Fourier e Aplicações,4-0-4,Funções de Várias Variáveis; Variáveis Complexas e Aplicações,BFIS - Bacharelado em Física (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Análise de Projetos,2-0-2,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Análise de Redes de Transporte e Distribuição,2-2-5,Pesquisa Operacional,EGES - Engenharia de Gestão (OL)
Análise de Regressão,3-1-4,Álgebra Linear; Introdução à Inferência Estatística,BM - Bacharelado em Matemática (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Análise de Séries Temporais - Tópicos Especiais,4-0-3,Bases Matemáticas; Funções de Uma Variável; Funções de Várias Variáveis; Economia Matemática; Introdução à Probabilidade e à Estatística; Introdução à Inferência Estatística; Econometria I; Econometria II; Econometria III,BCE - Bacharelado em Ciências Econômicas (OL)
Análise de Sistemas Dinâmicos Lineares,3-0-4,Modelagem e Controle,EIAR - Engenharia de Instrumentação Automação e Robótica (OBR)
Análise de Sistemas e Modelagem Ambiental,1-2-4,Não há,EGES - Engenharia de Gestão (OL);EAU - Engenharia Ambiental e Urbana (OBR)
Análise e Concepção Estrutural para a Engenharia,2-2-4,Não há,EAU - Engenharia Ambiental e Urbana (OL)
Análise e Controle de Sistemas Mecânicos,2-2-5,Modelagem de Sistemas Dinâmicos I; Modelagem de Sistemas Dinâmicos II,EBIO - Engenharia Biomédica (OBR)
Análise Econômica de Projetos,4-0-4,Bases Matemáticas; Introdução à Probabilidade e à Estatística; Contabilidade Básica; Introdução à Inferência Estatística; Engenharia Econômica; Funções de Uma Variável; Funções de Várias Variáveis; Finanças Corporativas; Microeconomia I; Macroeconomia I,BCE - Bacharelado em Ciências Econômicas (OL)
Análise Econômica de Projetos Energéticos,4-0-4,Engenharia Econômica,EENE - Engenharia de Energia (OBR);EGES - Engenharia de Gestão (OL)
Análise Estática em Sistemas Elétricos de Potência,4-0-4,Introdução aos Sistemas Elétricos de Potência,EENE - Engenharia de Energia (OBR)
Análise Experimental de Estruturas,1-3-3,Mecânica dos Sólidos I,EAER - Engenharia Aeroespacial (OL)
Análise Multivariada,4-0-4,Álgebra Linear; Introdução à Inferência Estatística,BM - Bacharelado em Matemática (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Análise na Educação Básica,0-2-4,Funções de Uma variável,LM - Licenciatura em Matemática (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
